========== Textual Sudoku Experiments Start ==========


========== Textual Sudoku on SATNet 9k/1k dataset ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset satnet --gpu 0 --seed 0
Hyperparameters:  [1, 0.1]
[satnet] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
30    0.00           40.62          0/1000         22529/55463    
31    0.00           41.03          0/1000         22757/55463    
32    0.00           41.18          0/1000         22840/55463    
33    0.00           41.60          0/1000         23071/55463    
34    0.00           41.92          0/1000         23252/55463    
35    0.00           42.04          0/1000         23317/55463    
36    0.00           43.02          0/1000         23859/55463    
37    0.00           43.82          0/1000         24305/55463    
38    0.00           44.52          0/1000         24693/55463    
39    0.00           44.59          0/1000         24731/55463    
40    0.00           44.70          0/1000         24790/55463    
41    0.00           44.95          0/1000         24933/55463    
42    0.00           45.20          0/1000         25069/55463    
43    0.00           45.81          0/1000         25410/55463    
44    0.00           45.72          0/1000         25360/55463    
45    0.00           46.11          0/1000         25575/55463    
46    0.00           46.30          0/1000         25680/55463    
47    0.00           46.73          0/1000         25919/55463    
48    0.00           46.92          0/1000         26024/55463    
49    0.00           47.57          0/1000         26382/55463    
50    0.00           48.14          0/1000         26701/55463    
51    0.00           49.72          0/1000         27577/55463    
52    0.00           50.04          0/1000         27754/55463    
53    0.00           50.77          0/1000         28160/55463    
54    0.00           52.22          0/1000         28961/55463    
55    0.00           52.71          0/1000         29233/55463    
56    0.00           53.97          0/1000         29936/55463    
57    0.00           54.92          0/1000         30459/55463    
58    0.00           56.04          0/1000         31082/55463    
59    0.00           56.57          0/1000         31373/55463    
60    0.00           57.76          0/1000         32034/55463    
61    0.00           58.59          0/1000         32497/55463    
62    0.00           59.01          0/1000         32728/55463    
63    0.00           61.15          0/1000         33915/55463    
64    0.00           62.28          0/1000         34540/55463    
65    0.10           64.39          1/1000         35714/55463    
66    0.20           65.15          2/1000         36132/55463    
67    0.60           66.56          6/1000         36914/55463    
68    0.40           66.46          4/1000         36858/55463    
69    0.50           66.71          5/1000         37000/55463    
70    0.40           67.05          4/1000         37186/55463    
71    0.50           67.66          5/1000         37528/55463    
72    1.10           68.28          11/1000        37870/55463    
73    0.60           68.05          6/1000         37741/55463    
74    1.20           68.52          12/1000        38002/55463    
75    1.10           69.21          11/1000        38388/55463    
76    0.90           69.46          9/1000         38525/55463    
77    1.90           69.42          19/1000        38505/55463    
78    2.40           71.27          24/1000        39529/55463    
79    3.10           70.73          31/1000        39230/55463    
80    4.90           72.91          49/1000        40436/55463    
81    5.60           74.00          56/1000        41042/55463    
82    11.40          75.55          114/1000       41903/55463    
83    22.20          78.24          222/1000       43394/55463    
84    34.20          81.63          342/1000       45272/55463    
85    41.00          83.96          410/1000       46565/55463    
86    45.40          85.21          454/1000       47262/55463    
87    45.20          86.24          452/1000       47829/55463    
88    51.60          86.84          516/1000       48163/55463    
89    52.40          87.44          524/1000       48497/55463    
90    51.30          87.20          513/1000       48366/55463    
91    54.60          88.53          546/1000       49100/55463    
92    58.40          89.02          584/1000       49373/55463    
93    59.10          89.08          591/1000       49409/55463    
94    58.20          89.86          582/1000       49841/55463    
95    59.40          90.06          594/1000       49952/55463    
96    57.80          89.78          578/1000       49795/55463    
97    58.30          89.93          583/1000       49879/55463    
98    65.30          91.62          653/1000       50815/55463    
99    61.90          91.09          619/1000       50520/55463    
100   64.20          91.26          642/1000       50615/55463    
101   63.50          91.12          635/1000       50537/55463    
102   65.80          91.86          658/1000       50948/55463    
103   68.80          91.95          688/1000       50999/55463    
104   68.40          92.13          684/1000       51099/55463    
105   69.40          92.76          694/1000       51448/55463    
106   66.00          92.25          660/1000       51164/55463    
107   68.90          92.72          689/1000       51425/55463    
108   68.60          92.34          686/1000       51217/55463    
109   68.40          92.78          684/1000       51458/55463    
110   73.20          92.69          732/1000       51409/55463    
111   68.70          92.04          687/1000       51047/55463    
112   67.90          92.14          679/1000       51103/55463    
113   68.50          91.69          685/1000       50855/55463    
114   72.30          92.98          723/1000       51571/55463    
115   67.00          92.70          670/1000       51416/55463    
116   69.90          92.29          699/1000       51188/55463    
117   70.10          92.59          701/1000       51351/55463    
118   67.60          92.47          676/1000       51284/55463    
119   70.40          92.73          704/1000       51433/55463    
120   68.00          92.09          680/1000       51074/55463    
121   72.00          92.87          720/1000       51511/55463    
122   74.20          93.44          742/1000       51824/55463    
123   74.10          93.28          741/1000       51734/55463    
124   72.70          93.26          727/1000       51723/55463    
125   70.40          92.75          704/1000       51440/55463    
126   71.70          93.00          717/1000       51579/55463    
127   73.10          93.29          731/1000       51744/55463    
128   70.20          92.76          702/1000       51450/55463    
129   69.40          92.77          694/1000       51454/55463    
130   71.70          92.88          717/1000       51513/55463    
131   72.00          92.85          720/1000       51495/55463    
132   71.80          92.61          718/1000       51365/55463    
133   74.90          93.57          749/1000       51894/55463    
134   73.40          93.01          734/1000       51585/55463    
135   75.10          93.24          751/1000       51715/55463    
136   72.50          93.74          725/1000       51993/55463    
137   74.70          93.62          747/1000       51923/55463    
138   74.90          93.05          749/1000       51608/55463    
139   74.50          93.80          745/1000       52026/55463    
140   74.40          93.13          744/1000       51654/55463    
141   72.80          92.83          728/1000       51487/55463    
142   70.30          92.79          703/1000       51466/55463    
143   75.70          93.11          757/1000       51643/55463    
144   74.10          93.23          741/1000       51708/55463    
145   74.50          92.93          745/1000       51543/55463    
146   76.00          93.64          760/1000       51934/55463    
147   72.90          92.92          729/1000       51538/55463    
148   76.30          93.58          763/1000       51903/55463    
149   77.00          93.24          770/1000       51712/55463    
150   75.60          93.63          756/1000       51928/55463    
151   75.30          93.61          753/1000       51918/55463    
152   76.90          93.02          769/1000       51594/55463    
153   76.30          93.50          763/1000       51860/55463    
